WigleWifi-1.4,appRelease=2.42,model=Freifunk,release=8.1.0,device=dummy,display=OPM8.190305.001-myself5@M5TR,board=MSM8974,brand=Freifunk
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
4a:41:db:7d:8a:90,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.8152903,7.32298851,0,0,WIFI
6a:c3:08:3c:53:48,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81346255,7.13785306,0,0,WIFI
86:1b:36:1f:c5:88,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81496492,7.15687394,0,0,WIFI
6e:d0:69:58:58:c8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.7899,7.16413,0,0,WIFI
e2:c3:9e:27:c1:c8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.758218,7.164783,0,0,WIFI
42:e4:29:40:84:60,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.829887,6.897413,0,0,WIFI
fe:5f:a8:f3:37:e0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.79545,7.19079,0,0,WIFI
06:8a:d3:e8:b9:d8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.76558,7.67168,0,0,WIFI
da:e4:02:28:01:68,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81892965,7.14978218,0,0,WIFI
3a:92:20:c9:45:70,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.870399,7.231469,0,0,WIFI
0e:1e:60:05:ab:30,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.62428,6.949,0,0,WIFI
b6:7d:e9:86:2b:68,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.83400259,7.27539003,0,0,WIFI
d6:3f:42:f2:4b:40,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.578178,6.9487129,0,0,WIFI
f2:52:28:d0:3d:20,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81232,7.111533,0,0,WIFI
c2:b7:9b:d2:c0:98,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.62172935,7.02186763,0,0,WIFI
22:e9:e0:92:fa:08,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.62345654,7.02144653,0,0,WIFI
ea:3d:a1:3b:cc:48,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.83597,7.207034,0,0,WIFI
ce:4e:4e:76:2c:d8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.82716,7.12283,0,0,WIFI
d6:a8:5b:ab:40:50,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.840464,7.212326,0,0,WIFI
9a:c4:ce:f3:20:f0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.882758,7.254638,0,0,WIFI
32:97:1b:f6:83:18,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.7930333,7.20654309,0,0,WIFI
